epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,768.811,1.29068,3.14702,1.21622,1.42684,0.38259,0.45455,0.30411,0.10963,0.33937,0.39394,0.22787,0.06576,2.32941,4.537,2.59896,2.68386,0.001736,0.001736,0.001736
42,786.973,1.33168,3.10465,1.22829,1.47714,0.35145,0.54197,0.26649,0.10244,0.36437,0.36364,0.21869,0.07375,2.29296,4.38475,2.64524,2.71691,0.0017294,0.0017294,0.0017294
43,804.774,1.28643,3.13782,1.23207,1.45646,0.30516,0.42591,0.22298,0.08577,0.31452,0.33333,0.17378,0.05441,2.25214,4.41263,2.6361,2.65717,0.0017228,0.0017228,0.0017228
44,823.098,1.29686,3.14667,1.22631,1.41729,0.36527,0.48485,0.24761,0.09781,0.31299,0.42424,0.21343,0.06745,2.3,4.67778,2.64927,2.63304,0.0017162,0.0017162,0.0017162
45,841.446,1.19785,3.00445,1.15538,1.37699,0.41349,0.45455,0.29104,0.11267,0.35563,0.39394,0.21474,0.0709,2.07805,4.71632,2.45106,2.35026,0.0017096,0.0017096,0.0017096
46,859.812,1.25229,3.12306,1.21815,1.4017,0.42835,0.54545,0.32601,0.15101,0.40411,0.51515,0.28381,0.10777,2.11754,4.46671,2.29364,2.3347,0.001703,0.001703,0.001703
47,878.112,1.28749,3.0477,1.21545,1.40682,0.38431,0.54545,0.3039,0.15333,0.3827,0.54545,0.291,0.09638,2.12701,4.44865,2.5136,2.39441,0.0016964,0.0016964,0.0016964
48,895.742,1.26455,3.01033,1.27516,1.47614,0.32045,0.48485,0.26626,0.10762,0.32854,0.30303,0.19132,0.05227,2.25846,4.609,2.52386,2.59603,0.0016898,0.0016898,0.0016898
49,913.791,1.33597,3.08087,1.21618,1.46885,0.33241,0.30303,0.20152,0.08055,0.36328,0.24242,0.17029,0.04901,2.34613,4.80114,2.67706,2.65258,0.0016832,0.0016832,0.0016832
50,932.112,1.30741,3.16672,1.19092,1.4177,0.28905,0.24242,0.21235,0.08453,0.25292,0.21212,0.16804,0.03698,2.2189,5.53439,3.07606,2.68154,0.0016766,0.0016766,0.0016766
51,950.116,1.25447,3.10928,1.19898,1.39276,0.22455,0.45455,0.24016,0.09115,0.16514,0.33333,0.10883,0.03506,2.2436,5.32082,3.17734,2.79049,0.00167,0.00167,0.00167
52,968.083,1.20915,2.94566,1.15145,1.38641,0.30124,0.42424,0.31624,0.12475,0.26204,0.36364,0.26152,0.08243,2.38675,4.71099,2.84195,2.80834,0.0016634,0.0016634,0.0016634
